INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,DENABANK,25-Oct-2012,0,XX,0,0,0,93.25,94.2,0,0,0,0,31-JUL-2012,
FUTSTK,DISHTV,30-Aug-2012,0,XX,69.4,70.5,68.45,69.85,69.85,598,1666.48,8480000,180000,31-JUL-2012,
FUTSTK,DISHTV,27-Sep-2012,0,XX,70.25,70.4,70,70.4,70.4,6,16.88,20000,8000,31-JUL-2012,
FUTSTK,DISHTV,25-Oct-2012,0,XX,0,0,0,70.5,70.8,0,0,0,0,31-JUL-2012,
FUTSTK,DIVISLAB,30-Aug-2012,0,XX,1103.8,1118.8,1094.1,1105.6,1105.6,697,3857.35,495000,22000,31-JUL-2012,
FUTSTK,DIVISLAB,27-Sep-2012,0,XX,1107.75,1122,1107.75,1111.95,1111.95,5,27.87,7500,500,31-JUL-2012,
FUTSTK,DIVISLAB,25-Oct-2012,0,XX,0,0,0,1107.15,1120.85,0,0,0,0,31-JUL-2012,
FUTSTK,DLF,30-Aug-2012,0,XX,201.85,207.85,198.65,207.4,207.4,9808,39988.14,19430000,468000,31-JUL-2012,
FUTSTK,DLF,27-Sep-2012,0,XX,203,207.85,198.9,207.4,207.4,185,754.19,478000,62000,31-JUL-2012,
FUTSTK,DLF,25-Oct-2012,0,XX,0,0,0,201.75,213.65,0,0,0,0,31-JUL-2012,
FUTSTK,DRREDDY,30-Aug-2012,0,XX,1640,1647.95,1615.05,1626.6,1626.6,1466,2979,635875,25875,31-JUL-2012,
FUTSTK,DRREDDY,27-Sep-2012,0,XX,1653,1653,1628.35,1638.4,1638.4,25,51.19,11375,2500,31-JUL-2012,
FUTSTK,DRREDDY,25-Oct-2012,0,XX,0,0,0,1660.7,1650.5,0,0,0,0,31-JUL-2012,
FUTSTK,EDUCOMP,30-Aug-2012,0,XX,159.15,162.95,157.3,161.3,161.3,1700,5455.18,3400000,-94000,31-JUL-2012,
FUTSTK,EDUCOMP,27-Sep-2012,0,XX,159.05,163,159.05,162.05,162.05,9,28.98,22000,14000,31-JUL-2012,
